resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
454,39,15,7,440,0,0,01:26.1,8
455,39,17,9,453,0,0,01:26.3,7
456,39,25,3,452,0,0,0,1
457,40,4,1,457,1,10,01:15.3,78
458,40,1,1,458,2,8,01:15.4,78
459,40,13,6,459,3,6,01:16.2,78
460,40,21,4,460,4,5,01:16.3,77
461,40,9,2,464,5,4,01:16.0,77
462,40,2,2,463,6,3,01:17.0,77
463,40,25,3,467,7,2,01:16.7,77
464,40,8,6,472,8,1,01:16.6,77
465,40,26,5,474,9,0,01:16.9,77
466,40,22,11,465,10,0,01:17.1,77
467,40,18,11,466,11,0,01:16.8,77
468,40,3,3,461,12,0,01:17.0,77
469,40,5,4,471,13,0,01:17.1,76
470,40,14,9,469,14,0,01:16.8,76
471,40,15,7,470,15,0,01:17.5,76
472,40,23,7,476,16,0,01:17.2,76
473,40,11,8,477,17,0,01:17.2,76
474,40,19,8,473,18,0,01:17.2,76
475,40,27,12,478,19,0,01:17.7,70
476,40,16,12,475,0,0,01:17.7,53
477,40,17,9,462,0,0,01:19.0,17
478,40,24,5,468,0,0,0,2
479,41,1,1,479,1,10,01:16.5,70
480,41,2,2,481,2,8,01:16.7,70
481,41,25,3,497,3,6,01:17.9,70
482,41,5,4,500,4,5,01:18.4,70
483,41,8,6,482,5,4,01:16.9,70
484,41,11,8,489,6,3,01:18.0,70
485,41,4,1,480,7,2,01:16.4,70
486,41,23,7,496,8,1,01:17.9,70
487,41,17,9,484,9,0,01:17.6,70
488,41,3,3,485,10,0,01:17.2,70
489,41,19,8,495,11,0,01:18.8,70
490,41,22,11,491,12,0,01:18.5,70
491,41,15,7,488,0,0,01:19.1,58
492,41,24,5,490,0,0,01:19.4,54
493,41,27,12,499,0,0,01:19.3,47
494,41,14,9,492,0,0,01:19.0,36
495,41,9,2,486,0,0,01:17.5,26
496,41,16,12,498,0,0,01:19.5,21
497,41,26,5,494,0,0,01:20.1,8
498,41,18,11,493,0,0,0,0
499,41,13,6,483,0,0,01:16.8,51
500,41,21,4,487,0,0,01:17.4,51
